Variant,Date Hour and Minute,Source / Medium,City,Sessions,ga:goal14Completions,ga:goal17Completions,ga:goal18Completions
0,202304102359,yandex.ru / referral,Moscow,1,0,0,0
0,202304110002,google / organic,(not set),1,0,0,0
0,202304110004,(direct) / (none),Volzhskiy,1,0,0,0
0,202304110008,google / organic,Turin,1,0,0,0
0,202304110008,promo_letter / email,Nizhny Novgorod,1,0,0,0
0,202304110017,youtube / influence,Orekhovo-Zuyevo,1,0,0,0
0,202304110019,google / organic,Bologna,1,0,0,0
0,202304110020,google / organic,Domodedovo,1,0,0,0
0,202304110024,youtube / influence,Kaluga,1,0,0,0
0,202304110035,bing / organic,Moscow,1,0,0,0
0,202304110036,google / organic,Moscow,1,0,0,0
0,202304110038,google / cpc,Salford,1,0,0,0
0,202304110043,google / organic,Chelyabinsk,1,0,0,0
0,202304110047,yandex / cpc,Norilsk,1,0,0,0
0,202304110050,google / cpc,Barysaw,1,0,0,0
0,202304110050,google / organic,Creteil,1,0,0,0
0,202304110053,google / organic,Domodedovo,1,0,0,0
0,202304110054,google / organic,Volgograd,1,0,0,0
0,202304110108,(direct) / (none),(not set),1,0,0,0
0,202304110118,gdeslon / cpa,Yaroslavl,1,0,0,0
0,202304110119,gdeslon / cpa,Yaroslavl,0,0,0,0
0,202304110125,google / organic,Moscow,1,0,0,0
0,202304110125,google / organic,Paris,1,0,0,0
0,202304110126,google / organic,Paris,0,0,0,0
0,202304110127,google / organic,Paris,0,0,0,0
0,202304110128,yandex.ru / referral,Moscow,1,0,0,0
0,202304110132,google / organic,(not set),1,0,0,0
0,202304110149,(direct) / (none),Paris,1,0,0,0
0,202304110150,(direct) / (none),Paris,0,0,0,0
0,202304110153,(direct) / (none),Paris,0,0,0,0
0,202304110154,(direct) / (none),Paris,0,0,0,0
0,202304110154,google / organic,Domodedovo,1,0,0,0
0,202304110155,(direct) / (none),Paris,0,0,0,0
0,202304110155,(direct) / (none),Vancouver,1,0,0,0
0,202304110155,google / organic,Domodedovo,0,0,0,0
0,202304110156,google / cpc,Yerevan,1,0,0,0
0,202304110157,google / cpc,Yerevan,0,0,0,0
0,202304110158,(direct) / (none),Vancouver,0,0,0,0
0,202304110158,google / cpc,Yerevan,0,0,0,0
0,202304110159,yandex / cpc,Moscow,1,0,0,0
0,202304110200,yandex / cpc,Moscow,0,0,0,0
0,202304110205,google / cpc,Yerevan,0,0,0,0
0,202304110206,(direct) / (none),Vancouver,0,0,0,0
0,202304110207,(direct) / (none),Vancouver,0,0,0,0
0,202304110210,youtube / influence,(not set),1,0,0,0
0,202304110211,youtube / influence,(not set),0,0,0,0
0,202304110214,youtube / influence,(not set),0,0,0,0
0,202304110217,blog.alter.ru / referral,(not set),1,0,0,0
0,202304110223,stripestaging1.alter.international / referral,Saint Petersburg,1,0,0,0
0,202304110224,stripestaging1.alter.international / referral,Saint Petersburg,0,0,0,0
0,202304110229,google / cpc,Bucharest,1,0,0,0
0,202304110229,google / organic,Paris,1,0,0,0
0,202304110232,stripestaging1.alter.international / referral,Saint Petersburg,0,0,0,0
0,202304110233,google / organic,Moscow,1,0,0,0
0,202304110234,google / organic,Moscow,0,0,0,0
0,202304110235,google / organic,Buenos Aires,1,0,0,0
0,202304110235,google / organic,Moscow,0,0,0,0
0,202304110236,google / organic,Buenos Aires,0,0,0,0
0,202304110236,google / organic,Paris,1,0,0,0
0,202304110237,google / organic,Buenos Aires,0,0,0,0
0,202304110237,google / organic,Moscow,0,0,0,0
0,202304110239,google / organic,Buenos Aires,0,0,0,0
0,202304110239,google / organic,Rostov-on-Don,1,0,0,0
0,202304110240,google / organic,Rostov-on-Don,0,0,0,0
0,202304110245,google / cpc,Naaldwijk,1,0,0,0
0,202304110246,google / organic,Irkutsk,1,0,0,0
0,202304110247,google / cpc,Naaldwijk,0,0,0,0
0,202304110247,google / organic,Irkutsk,0,0,0,0
0,202304110248,google / organic,Bialystok,1,0,0,0
0,202304110248,google / organic,Irkutsk,0,0,0,0
0,202304110249,google / organic,Bialystok,0,0,0,0
0,202304110249,google / organic,Moscow,1,0,0,0
0,202304110250,google / organic,Moscow,0,0,0,0
0,202304110251,google / organic,Bialystok,0,0,0,0
0,202304110252,google / organic,Bialystok,0,0,0,0
0,202304110254,google / organic,Bialystok,0,0,0,0
0,202304110257,admitad / cpa,Bialystok,1,0,0,0
0,202304110258,admitad / cpa,Bialystok,0,0,0,0
0,202304110259,admitad / cpa,Bialystok,0,0,0,0
0,202304110300,admitad / cpa,Bialystok,0,0,0,0
0,202304110300,m.vk.com / referral,Khabarovsk,1,0,0,0
0,202304110301,admitad / cpa,Bialystok,0,0,0,0
0,202304110301,m.vk.com / referral,Khabarovsk,0,0,0,0
0,202304110314,yandex / cpc,Krasnohvardiis'ke,1,0,0,0
0,202304110324,(direct) / (none),Moscow,1,0,0,0
0,202304110326,(direct) / (none),Moscow,0,0,0,0
0,202304110326,google / organic,Chelyabinsk,1,0,0,0
0,202304110334,yandex / cpc,Blagoveshchensk,1,0,0,0
0,202304110340,instagram / smm,New York,1,0,0,0
0,202304110342,google / organic,Boston,1,0,0,0
0,202304110342,journal.tinkoff.ru / referral,Yekaterinburg,1,0,0,0
0,202304110343,instagram / smm,New York,0,0,0,0
0,202304110344,google / organic,Boston,0,0,0,0
0,202304110348,google / organic,Boston,0,0,0,0
0,202304110355,google / cpc,London,1,0,0,0
0,202304110359,google / organic,Boston,0,0,0,0
0,202304110404,google / organic,Boston,0,0,0,0
0,202304110454,google / organic,(not set),1,0,0,0
0,202304110456,google / organic,(not set),0,0,0,0
0,202304110457,google / organic,(not set),0,0,0,0
0,202304110503,yandex / cpc,Bratsk,1,0,0,0
0,202304110504,yandex / cpc,Bratsk,0,0,0,0
0,202304110506,yandex / cpc,Bratsk,0,0,0,0
0,202304110510,(direct) / (none),Moscow,1,0,0,0
0,202304110511,(direct) / (none),Moscow,1,0,0,0
0,202304110513,google / organic,Irkutsk,1,0,0,0
0,202304110515,google / organic,Irkutsk,0,0,0,0
0,202304110518,google / organic,Irkutsk,0,0,0,0
0,202304110520,google / organic,Irkutsk,0,0,0,0
0,202304110521,yandex.ru / referral,Saint Petersburg,1,0,0,0
0,202304110522,yandex.ru / referral,Saint Petersburg,0,0,0,0
0,202304110524,yandex.ru / referral,Saint Petersburg,0,0,0,0
0,202304110531,yandex.ru / referral,Saint Petersburg,0,0,0,0
0,202304110535,(direct) / (none),Moscow,1,0,0,0
0,202304110536,(direct) / (none),Moscow,0,0,0,0
0,202304110536,yandex / cpc,Irkutsk,1,0,0,0
0,202304110537,(direct) / (none),Moscow,0,0,0,0
0,202304110537,yandex / cpc,Irkutsk,0,0,0,0
0,202304110538,(direct) / (none),Moscow,0,0,0,0
0,202304110540,yandex / cpc,Voronezh,1,0,0,0
0,202304110556,yandex / cpc,Almaty,1,0,0,0
0,202304110557,yandex / cpc,Almaty,0,0,0,0
